epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.357,1.97487,1.83434,1.68597,0.30849,0.26097,0.29028,0.13057,2.21725,3.42154,2.44193,0.00328947,0.00328947,0.0703947
2,44.9009,1.86872,1.29767,1.6779,0.11339,0.24863,0.0767,0.02592,2.43873,3.16673,2.67442,0.00655724,0.00655724,0.0403292
3,62.5341,1.83353,1.17581,1.64379,0.41366,0.608,0.43777,0.15662,2.29425,2.47435,2.22865,0.00975901,0.00975901,0.0101976
4,79.8805,1.78063,1.11035,1.63019,0.74233,0.59758,0.66236,0.28851,1.90639,2.14953,1.80736,0.009703,0.009703,0.009703
5,97.3609,1.7089,1.02824,1.5559,0.58285,0.81283,0.68742,0.32058,1.94607,2.36258,1.82387,0.009604,0.009604,0.009604
6,114.65,1.6641,0.97074,1.53019,0.86284,0.86498,0.88904,0.43585,1.85337,0.95553,1.71906,0.009505,0.009505,0.009505
7,131.835,1.62303,0.92511,1.50318,0.83843,0.81805,0.87791,0.40932,1.85212,1.00828,1.72303,0.009406,0.009406,0.009406
8,149.326,1.61497,0.92922,1.47695,0.53411,0.45851,0.34803,0.14084,2.49226,2.55177,2.3898,0.009307,0.009307,0.009307
9,166.611,1.61951,0.92131,1.51894,0.77494,0.78361,0.78145,0.32764,2.0323,1.52698,1.94192,0.009208,0.009208,0.009208
10,183.754,1.62556,0.87358,1.5068,0.8361,0.80233,0.87944,0.41145,1.90706,0.91291,1.7618,0.009109,0.009109,0.009109
11,200.972,1.58941,0.86174,1.47479,0.90259,0.87919,0.91731,0.47551,1.71096,0.80728,1.61469,0.00901,0.00901,0.00901
12,218.303,1.5863,0.8526,1.47115,0.67464,0.90347,0.81107,0.39816,1.69997,1.14644,1.59976,0.008911,0.008911,0.008911
13,235.81,1.58224,0.8255,1.4647,0.81223,0.90297,0.93012,0.4947,1.74505,0.92854,1.62482,0.008812,0.008812,0.008812
14,253.13,1.56662,0.8212,1.46339,0.85461,0.90449,0.90716,0.44516,1.87316,0.79263,1.70496,0.008713,0.008713,0.008713
15,270.262,1.56178,0.81948,1.45329,0.85274,0.91374,0.94765,0.49034,1.77358,0.74774,1.66596,0.008614,0.008614,0.008614
16,287.576,1.55653,0.8027,1.46293,0.87775,0.89508,0.91269,0.48323,1.6981,0.74609,1.60059,0.008515,0.008515,0.008515
17,304.819,1.53179,0.78736,1.43072,0.8202,0.93107,0.93294,0.49607,1.75034,0.79707,1.64558,0.008416,0.008416,0.008416
18,322.22,1.53594,0.77142,1.43798,0.84387,0.9216,0.91928,0.47255,1.7376,0.72618,1.61786,0.008317,0.008317,0.008317
19,339.448,1.52577,0.77612,1.41448,0.87041,0.84709,0.91361,0.4779,1.71728,0.79352,1.59165,0.008218,0.008218,0.008218
20,356.658,1.53276,0.77431,1.42551,0.89286,0.93435,0.9416,0.48319,1.71076,0.73259,1.61288,0.008119,0.008119,0.008119
21,373.824,1.50885,0.75381,1.41991,0.92245,0.92265,0.9523,0.50685,1.70891,0.67717,1.6014,0.00802,0.00802,0.00802
22,390.924,1.51569,0.76684,1.42057,0.8383,0.86736,0.91913,0.46677,1.7432,0.71533,1.61304,0.007921,0.007921,0.007921
